time,voltage,current
450601,0.4566649,-0.01999337
450721,0.4564655,-0.01999275
450841,0.4575484,-0.01999078
450961,0.4549009,-0.0199927
451081,0.4532799,-0.01999306
451201,0.4498556,-0.01999163
451321,0.4492093,-0.01999299
451441,0.4508503,-0.01999205
451561,0.4444183,-0.01999149
451681,0.4420635,-0.01999357
451801,0.4442952,-0.01999265
451921,0.4399489,-0.0199946
452041,0.4345204,-0.01999748
452161,0.4355684,-0.01999174
452281,0.4345204,-0.01999786
452401,0.4301081,-0.01999601
452521,0.4295292,-0.01999458
452641,0.4227296,-0.01999596
452761,0.4232232,-0.01999502
452881,0.421182,-0.01999636
453001,0.4102688,-0.01999429
453121,0.3975663,-0.01999574
453241,0.7090336,0.01999891
453361,0.7118059,0.01999373
453481,0.7122551,0.01999717
453601,0.7140541,0.01999442
453721,0.7140341,0.01999786
453841,0.714398,0.01999603
453961,0.7155923,0.01999692
454081,0.7176129,0.01999467
454201,0.718495,0.01999413
454321,0.7183023,0.01999476
454441,0.7222058,0.01999681
454561,0.7239299,0.01999675
454681,0.7255414,0.01999525
454801,0.7262234,0.01999596
454921,0.7267534,0.01999876
455041,0.7287896,0.01999623
455161,0.7290809,0.01999614
455281,0.7324203,0.01999462
455401,0.7334203,0.01999771
455521,0.7347174,0.01999708
455641,0.7357827,0.01999655
455761,0.7383622,0.01999382
455881,0.7393926,0.01999605
456001,0.7425534,0.01999588
456121,0.742116,0.01999567
456241,0.7451069,0.01999493
456361,0.7474582,0.01999498
456481,0.749029,0.0199929
456601,0.7501298,0.01999454
456721,0.7519058,0.01999701
456841,0.7548242,0.0199957
456961,0.7562615,0.01999272
457081,0.7575817,0.01999424
457201,0.7600827,0.01999154
457321,0.7627223,0.01999431
457441,0.7633917,0.01999451
457561,0.7640425,0.01999373
457681,0.7676198,0.0199929
457801,0.7719474,0.01999368
457921,0.7730637,0.01999545
458041,0.775028,0.01999578
458161,0.7797862,0.01999344
458281,0.780672,0.01999254
458401,0.7831123,0.01999444
458521,0.784027,0.01999236
458641,0.7885687,0.0199925
458761,0.7930927,0.01999216
458881,0.794255,0.01999355
459001,0.8015023,0.01999288
459121,0.7999213,0.01999409
459241,0.8030546,0.01999348
459361,0.8063273,0.01999541
459481,0.8078988,0.01999409
459601,0.822455,0.01999592
459721,0.8301591,0.01999257
459841,0.8343518,0.01999315
459961,0.8374918,0.01999165
460081,0.8482832,0.01999402
460201,0.8505471,0.01999317
460321,0.8947087,0.01999462
460441,0.5198252,-0.01999337
