TestTime,Voltage_V,Current_mA
1103,0.6610712,20.00
1104,0.6616991,20.00
1105,0.6606020,20.00
1106,0.6616628,20.00
1107,0.6602396,20.00
1108,0.6596073,20.00
1109,0.6604679,20.00
1110,0.6600899,20.00
1111,0.6605079,20.00
1112,0.6597896,20.00
1113,0.6600839,20.00
1114,0.6611513,20.00
1115,0.6603226,20.00
1116,0.6613855,20.00
1117,0.6612699,20.00
1118,0.6604723,20.00
1119,0.6607480,20.00
1120,0.6616687,20.00
1121,0.6612654,20.00
1122,0.6612750,20.00
1123,0.6615263,20.00
1124,0.6620111,20.00
1125,0.6616687,20.00
1126,0.6610209,20.00
1127,0.6616302,20.00
1128,0.6618532,20.00
1129,0.6616302,20.00
1130,0.6610624,20.00
1131,0.6601433,20.00
1132,0.6603241,20.00
1133,0.6611943,20.00
1134,0.6613766,20.00
1135,0.6619577,20.00
1136,0.6609874,20.00
1137,0.6610194,20.00
1138,0.6611424,20.00
1139,0.6616005,20.00
1140,0.6615308,20.00
1141,0.6614211,20.00
1142,0.6619029,20.00
1143,0.6612706,20.00
1144,0.6611550,20.00
1145,0.6608733,20.00
